,CustomerID,unique_invoiceno_count,unique_stockcode_count,total_amount,active_days
0,12346,2,1,0.0,0
1,12347,7,103,4310.0,365
2,12348,4,22,1797.24,282
3,12349,1,73,1757.55,0
4,12350,1,17,334.4,0
5,12352,11,59,1545.41,260
6,12353,1,4,89.0,0
7,12354,1,58,1079.4,0
8,12355,1,13,459.4,0
9,12356,3,53,2811.43,302
10,12357,1,131,6207.67,0
11,12358,2,13,1168.06,149
12,12359,6,214,6182.9800000000005,323
13,12360,3,105,2662.06,148
14,12361,1,10,189.9,0
15,12362,13,201,5154.58,292
16,12363,2,23,552.0,132
17,12364,4,70,1313.1,104
18,12365,3,22,320.69,0
19,12367,1,11,168.9,0
20,12370,4,143,3541.94,309
21,12371,2,63,1887.96,14
22,12372,3,34,1298.04,224
23,12373,1,14,364.6,0
24,12374,1,33,742.9300000000001,0
25,12375,3,14,455.42,95
26,12377,2,72,1628.12,39
27,12378,1,219,4008.62,0
28,12379,3,39,850.29,88
29,12380,5,77,2720.56,164
30,12381,6,70,1803.96,115
31,12383,6,84,1839.31,167
32,12384,3,26,566.16,92
33,12386,2,10,401.9,29
34,12388,6,57,2780.66,311
35,12390,1,32,549.84,0
36,12391,1,92,439.66,0
37,12393,4,47,1582.6000000000001,260
38,12394,2,26,1272.48,153
39,12395,15,91,2998.28,355
40,12397,2,110,2409.9,99
41,12398,1,85,1635.6599999999999,0
42,12399,4,47,1108.65,142
43,12401,1,5,84.3,0
44,12402,1,11,225.6,0
45,12403,2,5,409.7,0
46,12405,1,54,1710.39,0
47,12406,3,92,3280.75,161
48,12407,5,57,1708.1200000000001,214
49,12408,9,81,2842.57,227
50,12409,7,91,11056.93,103
51,12410,3,26,681.0799999999999,7
52,12412,3,43,1226.88,94
53,12413,5,29,694.15,270
54,12414,3,16,562.41,93
55,12415,26,444,123725.45,313
56,12417,12,158,3578.8,354
57,12418,1,34,668.58,0
58,12420,1,29,600.39,0
59,12421,5,33,806.27,303
60,12422,3,39,803.5600000000001,229
61,12423,9,97,1849.11,352
62,12424,2,30,1760.96,0
63,12425,1,36,777.2,0
64,12426,1,30,582.73,0
65,12427,5,26,708.37,360
66,12428,12,258,7877.2,257
67,12429,4,82,3750.4,356
68,12430,1,11,256.4,0
69,12431,18,163,6348.89,338
70,12432,5,107,5059.32,129
71,12433,7,219,13375.87,372
72,12434,4,49,765.19,276
73,12435,2,31,7829.89,188
74,12436,1,16,509.01,0
75,12437,19,119,4896.66,329
76,12438,2,84,2906.85,125
77,12441,1,11,173.55,0
78,12442,1,12,172.06,0
79,12444,5,138,5005.46,149
80,12445,1,4,133.4,0
81,12446,1,58,1002.3100000000001,0
82,12447,1,26,476.49,0
83,12448,1,22,449.45,0
84,12449,4,118,4067.29,164
85,12450,2,7,197.88,17
86,12451,6,265,8933.52,313
87,12452,3,21,428.57,0
88,12453,1,43,707.09,0
89,12454,2,15,5.684341886080802e-14,2
90,12455,6,85,2466.86,223
91,12456,4,105,3153.89,210
92,12457,12,53,1917.78,180
93,12458,2,35,947.4,213
94,12461,2,35,826.88,60
95,12462,4,51,1124.01,300
96,12463,7,66,1303.63,195
97,12464,8,6,1212.05,299
98,12465,3,46,733.89,161
99,12468,3,36,724.0400000000001,173
100,12471,49,152,18705.52,370
101,12472,13,226,6229.48,342
102,12473,9,140,2837.73,162
103,12474,30,253,7064.7699999999995,351
104,12475,1,36,723.38,0
105,12476,20,177,6546.58,359
106,12477,9,192,13117.01,288
107,12478,1,36,680.99,0
108,12479,3,31,477.3,7
109,12480,4,129,3281.63,307
110,12481,11,150,5574.36,342
111,12483,13,46,2327.13,322
112,12484,8,256,4480.87,303
113,12488,3,46,1298.66,65
114,12489,1,15,334.93,0
115,12490,10,131,5417.93,324
116,12491,1,25,460.40000000000003,0
117,12492,2,19,263.21000000000004,42
118,12493,3,20,416.79,31
119,12494,13,63,1139.3500000000001,355
120,12497,1,14,1043.1,0
121,12498,3,21,403.70000000000005,36
122,12500,13,34,4206.27,310
123,12501,2,149,2089.68,21
124,12502,5,102,3723.87,214
125,12503,1,1,-1126.0,0
126,12504,4,6,114.0,12
127,12505,1,1,-4.5,0
128,12506,1,23,73.5,0
129,12507,4,19,1258.06,164
130,12508,2,57,397.88,2
131,12509,1,7,176.5,0
132,12510,2,29,982.5699999999999,182
133,12512,2,31,132.18,0
134,12513,2,35,586.79,28
135,12514,1,51,1017.68,0
136,12515,1,16,383.7,0
137,12516,2,20,1312.06,102
138,12517,6,232,2443.65,161
139,12518,5,84,2056.89,109
140,12519,1,17,330.84,0
141,12520,6,121,2582.51,194
142,12521,1,38,599.68,0
143,12522,2,11,192.72,12
144,12523,13,84,1745.57,330
145,12524,8,113,4485.72,324
146,12526,3,64,1316.66,93
147,12527,3,18,348.71000000000004,243
148,12528,8,50,1922.28,303
149,12530,5,51,1623.63,277
150,12531,1,17,125.22,0
151,12532,1,16,349.83000000000004,0
152,12534,1,63,1089.18,0
153,12535,2,28,716.35,94
154,12536,5,260,4106.82,51
155,12538,1,21,363.95,0
156,12539,5,158,3852.5,311
157,12540,19,278,13309.039999999999,342
158,12541,3,46,981.18,251
159,12544,2,19,355.7,6
160,12545,2,42,1000.39,184
161,12546,3,59,1141.5,31
162,12547,2,7,207.79999999999998,82
163,12548,1,5,95.19999999999999,0
164,12550,1,57,964.83,0
165,12551,1,10,168.0,0
